"순번","노선명(도로명)","도로종류","도로기능","도로규모","도로폭","--- WORK_DTTM"
"33","가락로28길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.693"
"34","가락로2길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.693"
"35","가락로30길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.693"
"36","가락로31길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.693"
"37","가락로33길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.693"
"38","가락로34길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.693"
"39","가락로36길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.693"
"40","가락로37길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.693"
"41","가락로38길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.698"
"42","가락로39길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.698"
"43","가락로3길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.698"
"44","가락로40길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.698"
"45","가락로42길","일반도로","국지도로","소로2류","폭8-10m","2026-03-01 11:18:02.698"
"46","가락로5길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.698"
"47","가락로6길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.698"
"48","가락로7길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.698"
"49","가락로9길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.698"
"50","가람길","일반도로","국지도로","소로1류","폭10-12m","2026-03-01 11:18:02.698"
"51","가래여울1길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.703"
"52","가래여울2길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.703"
"53","가래여울길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.703"
"54","가로공원로","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.703"
"55","가로공원로55길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.703"
"56","가로공원로56길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.703"
"57","가로공원로58길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.703"
"58","가로공원로60가길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.703"
"59","가로공원로60길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.703"
"60","가로공원로61길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.703"
"61","가로공원로64길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.708"
"62","가로공원로66길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.708"
"63","가로공원로67길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.708"
"64","가로공원로69길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.708"
"65","가로공원로70길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.708"
"66","가로공원로71길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.708"
"67","가로공원로72길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.708"
"68","가로공원로74길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.708"
"69","가로공원로76가길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.708"
"70","가로공원로76길","일반도로","국지도로","소로2류","폭8-10m","2026-03-01 11:18:02.708"
"71","가로공원로77길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.714"
"72","가로공원로78가길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.714"
"73","가로공원로78길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.714"
"74","가로공원로80가길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.714"
"75","가로공원로80길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.714"
"76","가로공원로82길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.714"
"77","가로공원로84길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.714"
"78","가로공원로86길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.714"
"79","가로공원로88길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.714"
"80","가로공원로89길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.714"
"81","가로수길","일반도로","국지도로","소로2류","폭8-10m","2026-03-01 11:18:02.719"
"82","가리봉~독산선","일반도로","보조간선도로","중로1류","폭20-25m","2026-03-01 11:18:02.719"
"83","가리봉~신길선","일반도로","보조간선도로","대로2류","폭30-35m","2026-03-01 11:18:02.719"
"84","가마산로","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.719"
"85","가마산로11길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.719"
"86","가마산로12가길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.719"
"87","가마산로12길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.719"
"88","가마산로15가길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.719"
"89","가마산로15길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.719"
"90","가마산로19길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.719"
"91","가마산로20가길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.724"
"92","가마산로20길","일반도로","국지도로","소로2류","폭8-10m","2026-03-01 11:18:02.724"
"93","가마산로20나길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.724"
"94","가마산로20다길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.724"
"95","가마산로20라길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.724"
"96","가마산로21길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.724"
"97","가마산로22길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.724"
"98","가마산로23길","일반도로","국지도로","중로2류","폭15-20m","2026-03-01 11:18:02.724"
"99","가마산로25길","일반도로","국지도로","소로1류","폭10-12m","2026-03-01 11:18:02.724"
"100","가마산로26길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.724"
"101","가마산로27길","일반도로","국지도로","중로2류","폭15-20m","2026-03-01 11:18:02.73"
"102","가마산로2길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.73"
"103","가마산로31길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.73"
"104","가마산로32가길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.73"
"105","가마산로32길","일반도로","국지도로","소로1류","폭10-12m","2026-03-01 11:18:02.73"
"106","가마산로34길","일반도로","국지도로","소로2류","폭8-10m","2026-03-01 11:18:02.73"
"107","가마산로41길","일반도로","국지도로","소로1류","폭10-12m","2026-03-01 11:18:02.73"
"108","가마산로45길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.73"
"109","가마산로46가길","일반도로","국지도로","소로1류","폭10-12m","2026-03-01 11:18:02.73"
"110","가마산로46길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.73"
"111","가마산로47길","일반도로","국지도로","소로1류","폭10-12m","2026-03-01 11:18:02.735"
"112","가마산로48길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.735"
"113","가마산로49길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.735"
"114","가마산로4길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.735"
"115","가마산로50길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.735"
"116","가마산로51길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.735"
"117","가마산로54길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.735"
"118","가마산로56길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.735"
"119","가마산로5가길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.735"
"120","가마산로5길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.735"
"121","가마산로61가길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.74"
"122","가마산로61길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.74"
"123","가마산로61나길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.74"
"124","가마산로61다길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.74"
"125","가마산로61라길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.74"
"126","가마산로63길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.74"
"127","가마산로65길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.74"
"128","가마산로67길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.74"
"129","가마산로69가길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.74"
"130","가마산로69길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.74"
"131","가마산로71길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.745"
"132","가마산로77길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.745"
"133","가마산로79길","일반도로","국지도로","중로1류","폭20-25m","2026-03-01 11:18:02.745"
"134","가마산로7길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.745"
"135","가마산로88길","일반도로","국지도로","소로2류","폭8-10m","2026-03-01 11:18:02.745"
"136","가마산로89길","일반도로","국지도로","소로2류","폭8-10m","2026-03-01 11:18:02.745"
"137","가마산로90길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.745"
"138","가마산로9길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.745"
"139","가산디지털1로","일반도로","국지도로","중로1류","폭20-25m","2026-03-01 11:18:02.745"
"140","가산디지털2로","일반도로","국지도로","중로2류","폭15-20m","2026-03-01 11:18:02.745"
"141","가산로","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.75"
"142","가산로3가길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.75"
"143","가산로3길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.75"
"144","가산로5길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.75"
"145","가산로7길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.75"
"146","가산로9길","일반도로","국지도로","소로1류","폭10-12m","2026-03-01 11:18:02.75"
"147","가양~현저선","일반도로","주간선도로","대로1류","폭35-40m","2026-03-01 11:18:02.75"
"148","가양대로","일반도로","국지도로","확인","불가","2026-03-01 11:18:02.75"
"149","가재울로","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.75"
"150","가재울로10길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.75"
"151","가재울로12길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.755"
"152","가재울로14길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.755"
"153","가재울로2길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.755"
"154","가재울로2안길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.755"
"155","가재울로4길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.755"
"156","가재울로6길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.755"
"157","가재울로8길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.755"
"158","가재울미래로","일반도로","국지도로","중로1류","폭20-25m","2026-03-01 11:18:02.755"
"159","가좌로","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.755"
"160","가좌로10길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.755"
"161","가좌로11가길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.76"
"162","가좌로11길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.76"
"163","가좌로11나길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.76"
"164","가좌로12길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.76"
"165","가좌로2길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.76"
"166","가좌로2안길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.76"
"167","가좌로4길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.76"
"168","가좌로5길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.76"
"169","가좌로6길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.76"
"170","가좌로7가길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.76"
"171","가좌로7길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.765"
"172","가좌로7나길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.765"
"173","가좌로7다길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.765"
"174","가좌로7라길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.765"
"175","가좌로9길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.765"
"176","간호대로","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.765"
"177","간호대로1길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.765"
"178","간호대로2길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.765"
"179","간호대로3길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.765"
"180","간호대로4길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.765"
"181","갈월~동자동선","일반도로","보조간선도로","중로2류","폭15-20m","2026-03-01 11:18:02.77"
"182","갈현~적선선","일반도로","주간선도로","대로2류","폭30-35m","2026-03-01 11:18:02.77"
"183","갈현로","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.77"
"184","갈현로11가길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.77"
"185","갈현로11길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.77"
"186","갈현로12길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.77"
"187","갈현로14길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.77"
"188","갈현로15길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.77"
"189","갈현로16길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.77"
"190","갈현로17가길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.77"
"191","갈현로17길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.775"
"192","갈현로17나길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.775"
"193","갈현로19길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.775"
"194","갈현로1길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.775"
"195","갈현로21길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.775"
"196","갈현로23길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.775"
"197","갈현로25길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.775"
"198","갈현로27길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.775"
"199","갈현로29길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.775"
"200","갈현로2가길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.775"
"201","갈현로2길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.78"
"202","갈현로31길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.78"
"203","갈현로33가길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.78"
"204","갈현로33길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.78"
"205","갈현로35길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.78"
"206","갈현로36길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.78"
"207","갈현로37가길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.78"
"208","갈현로37길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.78"
"209","갈현로39가길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.78"
"210","갈현로39길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.78"
"211","갈현로3가길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.785"
"212","갈현로3길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.785"
"213","갈현로3나길","일반도로","국지도로","소로2류","폭8-10m","2026-03-01 11:18:02.785"
"214","갈현로3다길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.785"
"215","갈현로41가길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.785"
"216","갈현로41길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.785"
"217","갈현로41나길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.785"
"218","갈현로41다길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.785"
"219","갈현로43길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.785"
"220","갈현로45가길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.785"
"221","갈현로45길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.79"
"222","갈현로45나길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.79"
"223","갈현로47가길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.79"
"224","갈현로47길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.79"
"225","갈현로4길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.79"
"226","갈현로5길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.79"
"227","갈현로7가길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.79"
"228","갈현로7길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.79"
"229","갈현로9길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.79"
"230","감이남로","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.79"
"231","감이천자전거길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.795"
"232","감일남로","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.795"
"233","감초로","일반도로","국지도로","확인","불가","2026-03-01 11:18:02.795"
"234","강남대로","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.795"
"235","강남대로100길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.795"
"236","강남대로101길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.795"
"237","강남대로101안길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.795"
"238","강남대로102길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.795"
"239","강남대로105길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.795"
"240","강남대로106길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.795"
"241","강남대로107길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.8"
"242","강남대로109길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.8"
"243","강남대로10길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.8"
"244","강남대로110길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.8"
"245","강남대로112길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.8"
"246","강남대로114길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.8"
"247","강남대로116길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.8"
"248","강남대로118길","일반도로","국지도로","소로2류","폭8-10m","2026-03-01 11:18:02.8"
"249","강남대로120길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.8"
"250","강남대로122길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.8"
"251","강남대로124길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.806"
"252","강남대로126길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.806"
"253","강남대로128길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.806"
"254","강남대로12길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.806"
"255","강남대로130길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.806"
"256","강남대로132길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.806"
"257","강남대로136길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.806"
"258","강남대로140길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.806"
"259","강남대로146길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.806"
"260","강남대로150길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.806"
"261","강남대로152길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.811"
"262","강남대로154길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.811"
"263","강남대로156길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.811"
"264","강남대로158길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.811"
"265","강남대로160길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.811"
"266","강남대로162길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.811"
"267","강남대로16길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.811"
"268","강남대로18길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.811"
"269","강남대로23길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.811"
"270","강남대로25길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.811"
"271","강남대로27길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.816"
"272","강남대로2길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.816"
"273","강남대로30길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.816"
"274","강남대로34길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.816"
"275","강남대로37길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.816"
"276","강남대로39길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.816"
"277","강남대로41길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.816"
"278","강남대로42길","일반도로","국지도로","소로2류","폭8-10m","2026-03-01 11:18:02.816"
"279","강남대로43길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.816"
"280","강남대로44길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.816"
"281","강남대로45길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.821"
"282","강남대로47길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.821"
"283","강남대로48길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.821"
"284","강남대로49길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.821"
"285","강남대로4길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.821"
"286","강남대로51길","일반도로","국지도로","소로2류","폭8-10m","2026-03-01 11:18:02.821"
"287","강남대로53길","일반도로","국지도로","소로1류","폭10-12m","2026-03-01 11:18:02.822"
"288","강남대로54길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.822"
"289","강남대로55길","일반도로","국지도로","중로1류","폭20-25m","2026-03-01 11:18:02.822"
"290","강남대로58길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.822"
"291","강남대로61길","일반도로","국지도로","중로1류","폭20-25m","2026-03-01 11:18:02.827"
"292","강남대로62길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.827"
"293","강남대로65길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.827"
"294","강남대로66길","일반도로","국지도로","소로2류","폭8-10m","2026-03-01 11:18:02.827"
"295","강남대로69길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.827"
"296","강남대로6길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.827"
"297","강남대로78길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.827"
"298","강남대로79길","일반도로","국지도로","소로2류","폭8-10m","2026-03-01 11:18:02.827"
"299","강남대로83길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.827"
"300","강남대로84길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.827"
"301","강남대로85길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.832"
"302","강남대로89길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.832"
"303","강남대로8길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.832"
"304","강남대로91길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.832"
"305","강남대로92길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.832"
"306","강남대로93길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.832"
"307","강남대로94길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.832"
